fsynclock,fsync lock,
fsyncunlock,fsync unlock,
maxofflinetime,maximum offline time,
atlas search,full text search,
iam,identify and access management,
fim,federated identity management,
sso,single sign-on,
regex,regular expression,
iot,internet of things,
python async,motor,
shell,mongosh,mongo shell,mongodb shell,
operator,$,$$,dollar sign,
$ne,$neq,not equal,ne,not equal,
$elemMatch,$elementMatch,elementMatch,match element,
autocomplete,search as you go,search-as-you-type,
readonly,read only,
wiredTiger,wired tiger,
golang,go driver,
connection URI,connection string,
nin,not in,
jwt,JSON Web Token,
scram,salted challenge response authentication mechanism,
gte,greater than or equal to,
CAFile,certificate authority file,
crl,certificate revocation list,
sqrt,square root,
gcp,Google Cloud Platform,
collMod,modify collection,
featureCompatibilityVersion	fcv,
mvcc,multiversion concurrency control,
